Strain.ID	"""Taxonomic"" classification*"	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession
Eu3-2RS	rubi	Aru		Euonymous	Woody		Agrocinopine/Other		Ti	Type Ib	SAMN14165491
CA84/95	rhizogenes	BV2		Raspberry	Woody		Agrocinopine/Octopine-like/Nopaline	1995	Ti	Type IVc	SAMN14165492
S32/96	rhizogenes	BV2		Almond	Woody	S2_N3	Nopaline		Ti	Type Ia	SAMN14165493
16-280-1a	tumefaciens	BV1	G7_a	Lobelia	Herbaceous	C9_N45	Nopaline/Chrysopine		Ti	Type III	SAMN14165494
C16/80	rhizogenes	BV2		Apple	Woody		Succinamopine-like	1980	Ri	(Ri) Type II	SAMN14165495
16-280-1b	tumefaciens	BV1	G7_a	Lobelia	Herbaceous	C9_N45	Nopaline/Chrysopine		Ti	Type III	SAMN14165496
ATCC 15834	rhizogenes	BV2		Rose	Woody		Succinamopine-like	<1963	Ri	(Ri) Type III	SAMN14165497
B6806	tumefaciens	BV1	G4				Octopine/Agropine		Ti	Type II	SAMN14165498
1D1108	tumefaciens	BV1	G1	Euonymus	Woody	S4_N16	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165499
1D1460	tumefaciens	BV1	G4	Raspberry	Woody	S2_N8	Nopaline	NA	Ti	Type Ia	SAMN14165500
1D1609	tumefaciens	BV1	G7_a	Alfalfa	Herbaceous	S2_N6	Octopine/Agropine	NA	Ti	Type II	SAMN14165501
1D132	tumefaciens	BV1	G8_a	Cherry	Woody	S2_N2	Agrocinopine/Other	NA	Ti	Type Ib	SAMN14165502
ATCC 15955	tumefaciens	BV1	G1	Tomato	Herbaceous		Octopine/Agropine	NA	Ti	Type II	SAMN14165503
CG412	vitis	BV3		Grape	Grape (Woody)		Octopine	NA	Ti	Type IVb	SAMN14165504
CG678	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	NA	Ti	Type V	SAMN14165505
CG78	vitis	BV3		Grape	Grape (Woody)		Vitopine/Nopaline	NA	Ti	Type V	SAMN14165506
F2/5	vitis	BV3		Grape	Grape (Woody)			NA	NA	None	SAMN14165507
12D1	tumefaciens	BV1	G4					NA	NA	None	SAMN14165508
12D13	tumefaciens	BV1	G8_a					NA	NA	None	SAMN14165509
A6	tumefaciens	BV1	G1	Raspberry	Woody		Octopine/Agropine	NA	Ti	Type II	SAMN14165510
GC1A3	tumefaciens	BV1	G7_a	Lobelia	Herbaceous	Unknown	Nopaline/Chrysopine		Ti	Type III	SAMN14165511
K27	rhizogenes	BV2		Poplar	Woody	C2	Nopaline	<1964	Ti	Type Ia	SAMN14165512
A19/93	rubi	Aru		Euonymus	Woody	S6	Agrocinopine/Other	1993	Ti	Type Ib	SAMN14165513
J5a/93	rhizogenes	BV2		Blackberry	Woody	S2_N9	Nopaline	1993	Ti	Type Ib	SAMN14165514
P22/94	tumefaciens	BV1	G1	Aspen	Woody	S6_N29	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165515
W10/94	tumefaciens	BV1	G4	Walnut	Woody	S2_N1	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165516
Q15/94	tumefaciens	BV1	G1	Clematis	Herbaceous		Agrocinopine/Octopine-like/Nopaline	1994	Ti	Type VI	SAMN14165627
N33/94	tumefaciens	BV1	G8_a	Raspberry	Woody	S6_N25	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165517
Z4/95	rhizogenes	BV2		Apricot	Woody	S2_N7	Nopaline	1995	Ti	Type Ia	SAMN14165518
AQ11/95	rhizogenes	BV2		Hawthorn	Woody	S2_N7	Nopaline	1995	Ti	Type Ia	SAMN14165519
AP82/95	rhizogenes	BV2		Plum	Woody	S2_N7	Agrocinopine/Agropine	1995	Ti	Type Ib	SAMN14165520
CA75/95	rhizogenes	BV2		Raspberry	Woody		Agrocinopine/Octopine-like/Nopaline	1995	Ti	Type IVc	SAMN14165628
Y79/96	rhizogenes	BV2		Rhododendron	Herbaceous			1996	NA	None	SAMN14165521
T5/73	rhizogenes	BV2		Rose	Woody		Succinamopine-like	1973	Ri	(Ri) Type III	SAMN14165522
H25/79	tumefaciens	BV1	G1	Rose	Woody	C4	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165523
P23/94	rhizogenes	BV2		Aspen	Woody	S6_N29	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165524
O16/94	tumefaciens	BV1	G1	Blueberry	Woody			1994	NA	None	SAMN14165525
B147/94	rhizogenes	BV2		Walnut	Woody	S2_N10	Agrocinopine/Agropine	1994	Ti	Type Ib	SAMN14165526
T90/95	tumefaciens	BV1	G7_b	Grape	Woody			1995	NA	None	SAMN14165527
AS10/95	rhizogenes	BV2		Grape	Woody	S2_N7	Nopaline	1995	Ti	Type Ia	SAMN14165528
Di1472	skierniewicense	Ask		Shasta Daisy	Herbaceous		Succinamopine/Chrysopine	NA	Ti	Type III	SAMN14165529
Di1525a	tumefaciens	BV1	G8_a	Peony	Herbaceous	S5	Octopine/Agropine	NA	Ti	Type II	SAMN14165530
O54/95	tumefaciens	BV1	G4	Cherry	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165531
X1/95	rhizogenes	BV2		Peach	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165532
K95/95	rhizogenes	BV2		Pear	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165533
A1/90	rhizogenes	BV2		Chestnut	Woody	S6	Nopaline	1990	Ti	Type Ia	SAMN14165534
B1/74	rhizogenes	BV2		Nanking Cherry	Woody	S6_N27	Nopaline	1974	Ti	Type Ia	SAMN14165535
B4/73	rhizogenes	BV2		Maple	Woody	S6_N24	Nopaline	1973	Ti	Type Ia	SAMN14165536
CG920	tumefaciens	BV1	G1	Clematis	Woody	S5_N17	Octopine/Agropine		Ti	Type II	SAMN14165537
G3/79	tumefaciens	BV1	G1	Willow	Woody	S7	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165538
G9/79	tumefaciens	BV1	G1	Poplar	Woody	S7	Agrocinopine/Agropine	1979	Ti	Type Ib	SAMN14165539
I2/75	rhizogenes	BV2		Rose	Woody			1975	NA	None	SAMN14165540
K6/73	rhizogenes	BV2		Willow	Woody	S6_N21	Nopaline	1973	Ti	Type Ia	SAMN14165541
K196/80	tumefaciens	BV1	G1	Chrysanthemum	Herbaceous	C4	Succinamopine/Chrysopine	1980	Ti	Type III	SAMN14165542
M2/73	rhizogenes	BV2		Birch	Woody	S6_N27	Nopaline	1973	Ti	Type Ia	SAMN14165543
M56 /79	tumefaciens	BV1	G1	Cottonwood	Woody		Nopaline	1979	Ti	Type Ib	SAMN14165544
P1/75	rhizogenes	BV2		Dahlia	Herbaceous	S6	Octopine/Agropine	1975	Ti	Type II	SAMN14165545
Y2/73	tumefaciens	BV1	G1	Dahlia	Herbaceous	S6_N28	Succinamopine/Agropine	1973	Ti	Type III	SAMN14165546
B49C/83	rhizogenes	BV2		Apple	Woody	S9	Agrocinopine/Agropine	1983	Ti	Type Ib	SAMN14165547
D10b/87	rhizogenes	BV2		Apple	Woody	S9	Nopaline	1987	Ti	Type Ia	SAMN14165548
AR13K/71	rhizogenes	BV2		Crabapple	Woody		Succinamopine-like	1971	Ri	(Ri) Type II	SAMN14165549
A47a	tumefaciens	BV1	G1	Yarrow	Herbaceous	S8_N32	Succinamopine/Chrysopine	2002	Ti	Type III	SAMN14165550
06-478 st	tumefaciens	BV1	G1	Shasta Daisy	Herbaceous		Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165551
YO0101	tumefaciens	BV1	G1	Aster	Herbaceous	S1_N14	Octopine/Agropine	2002	Ti	Type II	SAMN14165552
06-777-2L	tumefaciens	BV1	G7_a	Marguerite Daisy	Herbaceous			2006	NA	None	SAMN14165553
06-617-1	tumefaciens	BV1	G1	Marguerite Daisy	Herbaceous	S2_N4	Nopaline/Chrysopine	2006	Ti	Type III	SAMN14165554
A51	tumefaciens	BV1	G1	Yarrow	Herbaceous	S8_N32	Nopaline/Chrysopine	2002	Ti	Type III	SAMN14165555
A74a	tumefaciens	BV1	G8_b	Lavender	Herbaceous			2003	NA	None	SAMN14165556
14-818c	tumefaciens	BV1	G7_a	Russian Sage	Herbaceous	S9_N46	Nopaline/Chrysopine		Ti	Type III	SAMN14165557
K599	tumefaciens	BV1	G7_c	Cucumber	Herbaceous		Cucumopine	1974	Ri	(Ri) Type I	SAMN14165558
NCIB 8196	rhizogenes	BV2		Apple	Woody		Mannopine	<1930	Ri	(Ri) Type II	SAMN14165559
NCPPB 2655	tumefaciens	BV1	G7_c	Cucumber	Herbaceous		Cucumopine	1974	Ri	(Ri) Type I	SAMN14165560
NCPPB 2657	tumefaciens	BV1	G9	Cucumber	Herbaceous		Cucumopine	1974	Ri	(Ri) Type I	SAMN14165561
											
NCBI isolate metadata for plasmid analysis											
B6 (pTiB6)	tumefaciens	BV1	G4	Apple	Woody	not shown	Octopine/Agropine	1934	Ti	Type II	NZ_LMVK01000032.1
S4	vitis	BV3		Grape	Grape (Woody)	not shown	Vitopine/Nopaline		NA	Type V	CP000637.1
NCPPB 3554 (K309)	vitis	BV3		Grape	Grape (Woody)	not shown	Cucumopine/Octopine	1977	Ti	Type IVb	NZ_LMVL00000000
MAFF03-01724 (pRi1724)	tumefaciens	BV1	G7 (not analyzed)	Cantaloupe	Herbaceous	not shown	Mikimopine	1987	Ri	(Ri) Type I	NC_002575.1
