Strain.ID	""Taxonomic"" classification*	3-letter code*	Genomospecies	Host	Host Type	Location Code^	Opine Type	Year Isolated	Class of oncogenic plasmid	Type  of oncogenic plasmid	NCBI accession	mlsa_node_id	beast_node_id
CA75/95	rhizogenes	BV2	NA	Raspberry	Woody	NA	Agrocinopine/Octopine-like/Nopaline	1995	Ti	Type IVc	SAMN14165628	CA75_95__BV2	CA75_95
Y79/96	rhizogenes	BV2	NA	Rhododendron	Herbaceous	NA	NA	1996	NA	None	SAMN14165521	Y79_96__BV2	Y79_96
T5/73	rhizogenes	BV2	NA	Rose	Woody	NA	Succinamopine-like	1973	Ri	(Ri) Type III	SAMN14165522	T5_73__BV2	T5_73
H25/79	tumefaciens	BV1	G1	Rose	Woody	C4	Agrocinopine/Other	1979	Ti	Type Ib	SAMN14165523	H25_79__BV1	H25_79
P23/94	rhizogenes	BV2	NA	Aspen	Woody	S6_N29	Agrocinopine/Other	1994	Ti	Type Ib	SAMN14165524	P23_94__BV2	P23_94
O16/94	tumefaciens	BV1	G1	Blueberry	Woody	NA	NA	1994	NA	None	SAMN14165525	O16_94__BV1	O16_94
B147/94	rhizogenes	BV2	NA	Walnut	Woody	S2_N10	Agrocinopine/Agropine	1994	Ti	Type Ib	SAMN14165526	B147_94__BV2	B147_94
T90/95	tumefaciens	BV1	G7_b	Grape	Woody	NA	NA	1995	NA	None	SAMN14165527	T90_95__BV1	T90_95
AS10/95	rhizogenes	BV2	NA	Grape	Woody	S2_N7	Nopaline	1995	Ti	Type Ia	SAMN14165528	AS10_95__BV2	AS10_95
Di1472	skierniewicense	Ask	NA	Shasta Daisy	Herbaceous	NA	Succinamopine/Chrysopine	NA	Ti	Type III	SAMN14165529	Di1472__Ask	Di1472
Di1525a	tumefaciens	BV1	G8_a	Peony	Herbaceous	S5	Octopine/Agropine	NA	Ti	Type II	SAMN14165530	Di1525a__BV1	Di1525a
O54/95	tumefaciens	BV1	G4	Cherry	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165531	O54_95__BV1	O54_95
X1/95	rhizogenes	BV2	NA	Peach	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165532	X1_95__BV2	X1_95
K95/95	rhizogenes	BV2	NA	Pear	Woody	S2_N11	Nopaline	1995	Ti	Type Ia	SAMN14165533	K95_95__BV2	K95_95
A1/90	rhizogenes	BV2	NA	Chestnut	Woody	S6	Nopaline	1990	Ti	Type Ia	SAMN14165534	A1_90__BV2	A1_90
